last_pop_flow,last_vacancy,last_tourists,last_sns_kpop,last_hotel_rate,scen_A,scen_B,scen_C,night_economy,kpop_fandom,policy_support,scenario,success_prob_target,success_flag,delta_flow_target,delta_vacancy_target
0.8530144095420837,0.25180676579475403,0.6963416337966919,0.49468982219696045,0.6507757902145386,0.0,0.0,1.0,0.21396248042583466,0.36335670948028564,0.633107602596283,C,0.5320162177085876,0,0.0587342232465744,-0.021145084872841835
0.8767820596694946,0.2382730096578598,0.7763024568557739,0.5470179319381714,0.7702460289001465,0.0,1.0,0.0,0.8697813153266907,0.8091601133346558,0.5729828476905823,B,0.7206116914749146,1,0.11572981625795364,-0.014019552618265152
0.7605523467063904,0.1503029614686966,0.7008087038993835,0.5081192255020142,0.8118700981140137,0.0,0.0,1.0,0.3717430830001831,0.6371074914932251,0.8496431112289429,C,0.7056388854980469,1,0.09384824335575104,-0.03463864326477051
0.7289773225784302,0.16932515799999237,0.7578951120376587,0.47447848320007324,0.6821444034576416,0.0,0.0,1.0,0.2627932131290436,0.1098611056804657,0.6499183773994446,C,0.560005247592926,0,0.08217758685350418,-0.015620811842381954
0.8122555017471313,0.31143561005592346,0.6795275211334229,0.4046408236026764,0.7655137181282043,1.0,0.0,0.0,0.7223705053329468,0.3250056207180023,0.29778262972831726,A,0.3904028534889221,0,0.08216969668865204,-0.0036811106838285923
0.8200733065605164,0.26191073656082153,0.8415429592132568,0.5614205598831177,0.7586003541946411,0.0,0.0,1.0,0.7688383460044861,0.617985188961029,0.9580097794532776,C,0.6606338024139404,1,0.09690972417593002,-0.026059405878186226
0.7334001660346985,0.22652661800384521,0.7687193751335144,0.3634466528892517,0.7128137350082397,0.0,0.0,1.0,0.16810530424118042,0.0985133945941925,0.8605066537857056,C,0.5701349973678589,1,0.0774180218577385,-0.02365821972489357
0.8243398666381836,0.17473368346691132,0.695078432559967,0.46155253052711487,0.739279568195343,0.0,0.0,1.0,0.7249075174331665,0.6645270586013794,0.7955049872398376,C,0.6052595376968384,1,0.11019691079854965,-0.03586145490407944
0.7678035497665405,0.3331908583641052,0.7484390139579773,0.5561648607254028,0.6766555905342102,1.0,0.0,0.0,0.5739882588386536,0.15219362080097198,0.3234628140926361,A,0.36685097217559814,0,0.03357367590069771,-0.013889642432332039
0.7985487580299377,0.2105151116847992,0.7959009408950806,0.5295711159706116,0.7427133321762085,0.0,1.0,0.0,0.6544578075408936,0.7477222681045532,0.9636024832725525,B,0.7506065964698792,1,0.14034046232700348,-0.011215138249099255
